Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-07-17 00:00:00-04:00,1490.75,1497.0,1477.75,1484.0,25571,0.0,0.0
2023-07-18 00:00:00-04:00,1476.5,1501.0,1474.25,1492.0,26908,0.0,0.0
2023-07-19 00:00:00-04:00,1492.0,1518.25,1485.0,1491.5,33338,0.0,0.0
2023-07-20 00:00:00-04:00,1489.0,1501.5,1480.75,1495.0,28198,0.0,0.0
2023-07-21 00:00:00-04:00,1491.75,1504.0,1485.0,1501.0,28372,0.0,0.0
2023-07-24 00:00:00-04:00,1507.5,1537.0,1500.0,1523.25,29203,0.0,0.0
2023-07-25 00:00:00-04:00,1521.75,1527.25,1502.75,1515.5,25259,0.0,0.0
2023-07-26 00:00:00-04:00,1513.75,1558.0,1506.0,1546.25,30605,0.0,0.0
2023-07-27 00:00:00-04:00,1549.0,1580.75,1529.25,1532.0,25445,0.0,0.0
2023-07-28 00:00:00-04:00,1530.5,1531.5,1483.5,1486.75,13888,0.0,0.0
2023-07-31 00:00:00-04:00,1486.5,1486.5,1430.25,1445.75,2352,0.0,0.0
2023-08-01 00:00:00-04:00,1446.5,1465.0,1433.75,1446.75,2092,0.0,0.0
2023-08-02 00:00:00-04:00,1447.25,1447.25,1420.25,1429.75,744,0.0,0.0
2023-08-03 00:00:00-04:00,1431.0,1445.0,1424.75,1428.75,1505,0.0,0.0
2023-08-04 00:00:00-04:00,1446.0,1446.0,1434.0,1444.0,323,0.0,0.0
2023-08-07 00:00:00-04:00,1430.0,1430.0,1405.0,1414.5,212,0.0,0.0
2023-08-08 00:00:00-04:00,1400.25,1431.25,1395.0,1430.0,382,0.0,0.0
2023-08-09 00:00:00-04:00,1436.0,1438.0,1430.75,1431.5,104,0.0,0.0
2023-08-10 00:00:00-04:00,1431.75,1438.5,1410.0,1412.0,82,0.0,0.0
2023-08-11 00:00:00-04:00,1353.25,1409.0,1353.25,1401.25,25,0.0,0.0
2023-08-14 00:00:00-04:00,1422.0,1422.0,1391.0,1391.0,7906,0.0,0.0
2023-08-15 00:00:00-04:00,1344.25,1348.75,1319.5,1323.25,15884,0.0,0.0
2023-08-16 00:00:00-04:00,1323.75,1344.25,1321.25,1334.75,9256,0.0,0.0
2023-08-17 00:00:00-04:00,1337.0,1347.75,1332.5,1336.75,12549,0.0,0.0
